^FINANCIAL,10/21/2020,1218.01,1268.21,1218.01,1268.21,1694628,401334
BDO,10/21/2020,92,94,92,93.95,6623250,170326881
BPI,10/21/2020,69,75.8,68.95,75.8,6758710,159881049
CHIB,10/21/2020,21.6,21.75,21.6,21.65,121300,-1365910
EW,10/21/2020,9.35,9.5,9.28,9.49,614000,-337001
MBT,10/21/2020,41.6,42.5,41.5,42.15,4327800,5695760
PBB,10/21/2020,9.54,9.92,9.54,9.92,23600,0
PBC,10/21/2020,17.46,17.5,16.74,16.74,3200,0
PNB,10/21/2020,26.5,27.7,26.5,27,712000,933790
PSB,10/21/2020,51.5,52,51,52,9480,209545
PTC,10/21/2020,96,96,96,96,60,0
RCB,10/21/2020,17.1,17.8,17.1,17.66,318400,-1803814
SECB,10/21/2020,97,100,97,100,2183450,68481218
UBP,10/21/2020,54.25,55,54.25,54.35,19470,-571325
BKR,10/21/2020,0.8,0.8,0.79,0.79,3000,0
COL,10/21/2020,26.7,27,26.5,27,18300,-47840
FAF,10/21/2020,0.58,0.58,0.58,0.58,2000,0
FERRO,10/21/2020,3.7,4.08,3.7,3.89,265000,0
FFI,10/21/2020,6.87,7.9,6.87,7.9,13300,0
I,10/21/2020,1.13,1.17,1.13,1.17,11000,0
MED,10/21/2020,0.3,0.3,0.295,0.3,310000,0
NRCP,10/21/2020,0.6,0.6,0.56,0.6,169000,0
PSE,10/21/2020,157.9,157.9,157.4,157.8,1460,-67937
SLF,10/21/2020,1945,1945,1945,1945,10,0
V,10/21/2020,1,1.02,1,1.01,431000,0
^INDUSTRIAL,10/21/2020,8320.43,8410.88,8305.23,8352.31,2157270,75346
ACEN,10/21/2020,3.59,3.65,3.51,3.63,22260000,32137940
ACR,10/21/2020,1.24,1.28,1.24,1.28,647000,-3780
AP,10/21/2020,26.25,26.65,26.25,26.55,1156100,-11030730
BSC,10/21/2020,0.2,0.203,0.196,0.198,2410000,-1980
FGEN,10/21/2020,26.1,26.3,25.5,26.3,988300,13160115
FPH,10/21/2020,60,61,59.95,61,135730,-4880092
MER,10/21/2020,290,291,285,285,256050,-24169196
MWC,10/21/2020,14.08,14.46,14.08,14.46,1437500,1930724
PCOR,10/21/2020,3.06,3.2,3.06,3.16,3417000,-279070
PERC,10/21/2020,3.62,3.62,3.35,3.38,75000,-13530
PNX,10/21/2020,12.72,14,12.58,14,3797200,-180944
SHLPH,10/21/2020,16.3,16.5,16.3,16.4,1730200,-345738
SPC,10/21/2020,11,11,10.86,10.96,328100,0
ANI,10/21/2020,7.5,7.75,7.5,7.68,187500,-166455
AXLM,10/21/2020,2.83,2.9,2.77,2.83,1964000,31840
CAT,10/21/2020,12.26,12.26,11.44,11.5,14600,3450
CNPF,10/21/2020,17.58,17.7,17.42,17.42,1690800,14520001
DELM,10/21/2020,4.97,5.05,4.97,5,88000,-134900
DNL,10/21/2020,6.07,6.22,6.01,6.13,12327100,-31643989
EMP,10/21/2020,9.94,9.96,9.91,9.95,1686800,-912181
FB,10/21/2020,64.5,65.8,64.5,65.05,268280,7672821
FOOD,10/21/2020,0.63,0.64,0.63,0.64,462000,0
FRUIT,10/21/2020,1.2,1.24,1.2,1.22,15710000,239500
GSMI,10/21/2020,47.4,47.4,46.8,47,72700,-3196905
JFC,10/21/2020,170,175,165.1,170,3108770,114512607
LFM,10/21/2020,35.2,35.2,35.2,35.2,1000,0
MACAY,10/21/2020,7.97,7.97,7.97,7.97,100,0
MAXS,10/21/2020,5.7,6,5.52,5.7,2595800,-89279
MG,10/21/2020,0.14,0.14,0.14,0.14,370000,0
PIZZA,10/21/2020,6.2,6.55,6.19,6.4,5406800,-3027677
RCI,10/21/2020,1.21,1.23,1.19,1.23,2939000,-255520
RFM,10/21/2020,4.93,4.95,4.93,4.93,322000,0
ROX,10/21/2020,1.76,1.76,1.73,1.73,323000,3500
URC,10/21/2020,135,137.5,135,136.1,1367550,3928817
VITA,10/21/2020,0.79,0.82,0.79,0.8,11293000,-178720
VMC,10/21/2020,2.25,2.33,2.23,2.33,7000,0
CA,10/21/2020,51,51,51,51,1120,0
CAB,10/21/2020,53.95,53.95,53.95,53.95,40,0
CHP,10/21/2020,1.56,1.59,1.55,1.56,14693000,1366870
DAVIN,10/21/2020,4.42,4.44,4.42,4.44,13000,0
EAGLE,10/21/2020,14.4,14.5,14.14,14.5,899800,-7752860
EEI,10/21/2020,7.6,7.8,7.52,7.8,475700,1079273
HLCM,10/21/2020,5.62,5.73,5.55,5.63,1458400,-636931
MWIDE,10/21/2020,7.45,7.6,7.45,7.53,7387100,-26040470
PHN,10/21/2020,8.4,8.4,8.1,8.12,31600,0
T,10/21/2020,0.72,0.74,0.71,0.71,219000,0
VUL,10/21/2020,0.78,0.83,0.78,0.81,1086000,-86199
CROWN,10/21/2020,2.03,2.1,1.99,2.06,169000,0
EURO,10/21/2020,1.86,1.88,1.81,1.86,286000,0
LMG,10/21/2020,4.33,4.41,4.01,4.41,84000,0
MVC,10/21/2020,4.36,4.36,4.21,4.36,8000,0
PPC,10/21/2020,4.2,4.2,4.14,4.18,83000,-23040
CIC,10/21/2020,20,20.4,20,20.25,17000,-326950
GREEN,10/21/2020,2.55,2.56,2.49,2.52,5343000,223300
IMI,10/21/2020,6.05,6.25,6.05,6.15,1218800,-49738
ION,10/21/2020,0.95,0.99,0.95,0.98,682000,98000
PMPC,10/21/2020,4.78,5.39,4.78,5.24,5700,0
SSP,10/21/2020,1.38,1.43,1.37,1.4,1566000,-1540
TECH,10/21/2020,5.83,6,5.55,5.66,6974800,-133657
^HOLDING,10/21/2020,6335.25,6501.22,6335.25,6447.56,2683292,257041
ABA,10/21/2020,0.5,0.5,0.48,0.485,22130000,1473300
ABG,10/21/2020,7.5,7.68,7.31,7.67,29700,0
AC,10/21/2020,710,740,710,732,339710,69270005
AEV,10/21/2020,44.4,45.15,44,45,1166400,-4808715
AGI,10/21/2020,7.69,8,7.6,8,18181900,20193468
ALLHC,10/21/2020,2.65,2.9,2.63,2.8,8002000,-2358180
ANS,10/21/2020,6.56,6.56,6.56,6.56,2700,0
APO,10/21/2020,0.65,0.65,0.63,0.65,1270000,0
ATN,10/21/2020,0.77,0.82,0.75,0.8,6868000,0
ATNB,10/21/2020,0.8,0.84,0.8,0.8,174000,0
COSCO,10/21/2020,5.2,5.21,5.18,5.18,1408400,-1415216
DMC,10/21/2020,4.45,4.69,4.43,4.65,21250000,-43785930
FDC,10/21/2020,9.09,9.1,8.91,9.06,6200,-38010
FPI,10/21/2020,0.216,0.219,0.216,0.219,130000,0
GTCAP,10/21/2020,439,448.4,434,442.6,1639850,98889100
HI,10/21/2020,3.33,3.57,3.33,3.33,25000,0
JGS,10/21/2020,64.5,67,64.5,66.6,1558710,40422125
LIHC,10/21/2020,0.63,0.64,0.61,0.62,286000,0
LPZ,10/21/2020,2.58,2.6,2.56,2.59,404000,-271070
LTG,10/21/2020,11.02,11.4,11,11.18,33271200,27380142
MHC,10/21/2020,0.475,0.51,0.475,0.51,160000,0
MPI,10/21/2020,4.01,4.02,3.94,3.95,52458000,-78705670
PA,10/21/2020,3.14,3.15,3.14,3.15,62000,0
PRIM,10/21/2020,0.79,0.82,0.79,0.82,49000,-16590
SGI,10/21/2020,0.98,0.98,0.98,0.98,23000,0
SGP,10/21/2020,160,160,160,160,10,0
SM,10/21/2020,910,938,910,921,474500,130999370
SMC,10/21/2020,102,108,102,102,638290,760427
SOC,10/21/2020,0.68,0.68,0.68,0.68,11000,0
TFHI,10/21/2020,125,131.5,125,128.1,25350,-946661
ZHI,10/21/2020,0.145,0.145,0.14,0.144,450000,0
^PROPERTY,10/21/2020,2902.19,3011.5,2902.19,2995.06,1856669,-8341
ALCO,10/21/2020,0.61,0.61,0.58,0.59,1861000,8770
ALHI,10/21/2020,8,8,8,8,1000,0
ALI,10/21/2020,31.3,32.75,31.3,32.5,23352200,-33922780
ARA,10/21/2020,0.99,1.04,0.99,1.03,586000,0
AREIT,10/21/2020,25.75,25.8,25.65,25.75,414800,-1708760
BEL,10/21/2020,1.38,1.4,1.37,1.4,1364000,-1140870
BRN,10/21/2020,0.82,0.83,0.8,0.81,3359000,10220
CEI,10/21/2020,0.134,0.139,0.134,0.138,4420000,4050
CLI,10/21/2020,4.7,4.7,4.59,4.62,1662000,-2038750
CPG,10/21/2020,0.365,0.37,0.36,0.36,9090000,21900
CYBR,10/21/2020,0.43,0.435,0.415,0.435,1260000,0
DD,10/21/2020,14.2,14.7,14.2,14.42,1637400,-15184038
DMW,10/21/2020,5.89,5.89,5.29,5.3,898600,-2133204
ELI,10/21/2020,0.27,0.285,0.265,0.28,5860000,2600
FLI,10/21/2020,0.96,0.98,0.95,0.97,34276000,3169740
GERI,10/21/2020,0.76,0.78,0.75,0.78,370000,-84810
HOUSE,10/21/2020,7.7,8.72,7.65,8.24,657400,-384085
IRC,10/21/2020,1.36,1.4,1.36,1.4,1935000,145220
LAND,10/21/2020,0.69,0.73,0.69,0.7,127000,0
MEG,10/21/2020,3.01,3.12,3.01,3.1,61852000,7977210
MRC,10/21/2020,0.34,0.365,0.335,0.365,60750000,-177650
PHES,10/21/2020,0.32,0.32,0.32,0.32,200000,0
PRMX,10/21/2020,1.19,1.19,1.15,1.18,386000,5890
RLC,10/21/2020,14.74,15.4,14.74,15.24,9804500,5254260
RLT,10/21/2020,0.218,0.223,0.218,0.218,360000,2180
ROCK,10/21/2020,1.5,1.55,1.5,1.51,389000,15200
SHNG,10/21/2020,2.7,2.7,2.7,2.7,18000,0
SLI,10/21/2020,1.9,1.99,1.88,1.97,178000,-188020
SMPH,10/21/2020,31.5,32.8,31.5,32.45,11358900,31919435
STR,10/21/2020,3.98,3.98,3.86,3.98,59000,0
SUN,10/21/2020,1.19,1.21,1.17,1.2,1182000,0
VLL,10/21/2020,3.48,3.53,3.47,3.52,2602000,84860
^SERVICE,10/21/2020,1463.09,1473.3,1461.66,1469.47,1637591,-446719
ABS,10/21/2020,11.02,11.48,11.02,11.38,372500,0
GMA7,10/21/2020,5.07,5.12,5.04,5.07,417300,0
MB,10/21/2020,0.42,0.42,0.41,0.41,80000,0
MBC,10/21/2020,10.5,10.5,10.5,10.5,400,0
GLO,10/21/2020,2028,2028,2006,2010,114020,-105486580
TEL,10/21/2020,1330,1364,1323,1352,224685,-59590665
APL,10/21/2020,0.053,0.055,0.051,0.055,89870000,-104700
DFNN,10/21/2020,3.05,3.2,3.01,3.1,104000,-57600
DITO,10/21/2020,6.15,6.27,6.12,6.2,18474700,1469692
IMP,10/21/2020,1.44,1.44,1.44,1.44,1000,0
IS,10/21/2020,0.086,0.091,0.086,0.086,2880000,26400
JAS,10/21/2020,1.58,1.61,1.56,1.61,44000,0
NOW,10/21/2020,4.65,4.87,4.51,4.79,11700000,2107040
TBGI,10/21/2020,0.228,0.233,0.228,0.232,5600000,0
WEB,10/21/2020,2.64,2.65,2.57,2.64,2109000,-154570
2GO,10/21/2020,9.11,9.35,9.11,9.2,109000,0
C,10/21/2020,5.67,5.84,5.6,5.75,2915400,-619295
CEB,10/21/2020,42.6,42.9,40.2,40.7,1306900,-15811335
ICT,10/21/2020,116.3,117.5,116.2,116.2,2491530,-181014483
LBC,10/21/2020,14.2,14.2,14.2,14.2,400,0
LSC,10/21/2020,0.97,1.04,0.9,1.04,1574000,50
MAC,10/21/2020,5.35,5.46,5,5.19,12869100,-1891433
MAH,10/21/2020,1.9,1.98,1.88,1.94,875000,0
PAL,10/21/2020,7.63,7.63,6.55,7.1,674300,62570
TUGS,10/21/2020,1.39,1.43,1.29,1.32,8169000,148680
ACE,10/21/2020,1.21,1.21,1.19,1.21,32000,0
BHI,10/21/2020,0.026,0.027,0.026,0.027,41800000,28600
DWC,10/21/2020,1.58,1.6,1.58,1.6,2000,0
GPH,10/21/2020,10.36,10.36,10.36,10.36,300,0
WPI,10/21/2020,0.395,0.435,0.395,0.43,4790000,-3200
CEU,10/21/2020,6.5,6.5,6.5,6.5,100,0
FEU,10/21/2020,500,500,500,500,170,20000
IPO,10/21/2020,7.3,7.61,7.3,7.61,23200,0
STI,10/21/2020,0.31,0.315,0.31,0.31,1330000,-27900
BCOR,10/21/2020,3.13,3.2,3.1,3.19,364000,-28620
BLOOM,10/21/2020,7.48,7.65,7.31,7.37,15436900,-44848562
LOTO,10/21/2020,1.85,1.87,1.85,1.87,20000,0
LR,10/21/2020,1.53,1.58,1.5,1.5,1513000,-868720
MJC,10/21/2020,2.1,2.32,2.1,2.32,5000,0
PLC,10/21/2020,0.325,0.34,0.32,0.335,36710000,-2837800
PRC,10/21/2020,7.89,7.89,7.89,7.89,100,0
HOME,10/21/2020,6.4,6.8,6.4,6.78,4158200,10342399
MRSGI,10/21/2020,1.45,1.47,1.41,1.45,1471000,0
PGOLD,10/21/2020,42,43.2,41.75,43,3154000,-19494800
RRHI,10/21/2020,68,68,67.5,68,196360,-4954059
SEVN,10/21/2020,112,112,111,111,295190,-442380
SSI,10/21/2020,1.12,1.16,1.12,1.15,4220000,-1394910
WLCON,10/21/2020,15.12,15.5,15.12,15.34,3484100,-21293528
APC,10/21/2020,0.3,0.305,0.3,0.305,3760000,0
ECP,10/21/2020,6.84,7,6.77,7,69500,0
HVN,10/21/2020,330,350,330,350,580,0
IPM,10/21/2020,3,3,3,3,1000,0
PHA,10/21/2020,0.28,0.29,0.275,0.285,14580000,0
^MINING-OIL,10/21/2020,7420.26,7661.43,7420.26,7644.92,396946,1709
AB,10/21/2020,10.2,10.5,9.21,10.32,511500,5940
APX,10/21/2020,1.8,1.93,1.79,1.93,25593000,-5529410
AR,10/21/2020,0.0011,0.0011,0.001,0.0011,416000000,-62000
AT,10/21/2020,4.02,4.19,4,4.19,512000,0
BC,10/21/2020,2.7,2.92,2.7,2.89,187000,0
COAL,10/21/2020,0.236,0.265,0.236,0.265,380000,0
CPM,10/21/2020,2.5,2.5,2.5,2.5,3000,0
DIZ,10/21/2020,7.45,7.45,7.35,7.45,1800,0
FNI,10/21/2020,1.29,1.3,1.27,1.29,8859000,284710
GEO,10/21/2020,0.24,0.245,0.239,0.24,460000,-4800
LC,10/21/2020,0.15,0.156,0.149,0.15,12530000,0
LCB,10/21/2020,0.149,0.155,0.149,0.15,1540000,0
MA,10/21/2020,0.01,0.01,0.01,0.01,16000000,0
MAB,10/21/2020,0.011,0.011,0.01,0.01,9800000,0
MARC,10/21/2020,0.96,0.97,0.94,0.94,3103000,-8730
NI,10/21/2020,2.56,2.68,2.56,2.63,651000,-10350
NIKL,10/21/2020,3.74,3.79,3.7,3.72,18943000,10236570
OM,10/21/2020,0.35,0.35,0.35,0.35,100000,0
ORE,10/21/2020,0.65,0.7,0.65,0.69,3399000,0
PX,10/21/2020,5.02,5.4,5.01,5.35,4285400,-336056
SCC,10/21/2020,11.98,12.04,11.84,11.94,2651200,-3111530
UPM,10/21/2020,0.0054,0.0054,0.0053,0.0054,68000000,0
ACEX,10/21/2020,6.16,6.5,6.11,6.35,296300,110360
OPM,10/21/2020,0.0097,0.0099,0.0097,0.0098,20000000,0
OPMB,10/21/2020,0.0099,0.0099,0.0097,0.0097,5000000,0
OV,10/21/2020,0.0091,0.0092,0.0089,0.0091,40000000,0
PXP,10/21/2020,9.96,11.8,9.87,11.5,18003100,135178
APVI,10/21/2020,10.82,11.4,10.78,10.84,773300,185570
IDC,10/21/2020,2.54,2.6,2.5,2.57,2492000,0
KPPI,10/21/2020,5.2,5.38,5.19,5.32,171700,0
MFIN,10/21/2020,2.17,2.18,2.17,2.18,3000,0
MM,10/21/2020,3.13,3.24,3.12,3.16,23821000,1032270
FMETF,10/21/2020,93,95,93,94.75,48430,68171
^PSEi,10/21/2020,6146.04,6290.68,6146.04,6278.59,10522246,343241
^ALLSHARES,10/21/2020,3698.26,3764.25,3698.26,3760.85,0,0
8990P,10/21/2020,102,102,102,102,100,0
ALCPB,10/21/2020,101.2,101.2,101.1,101.1,15500,0
APB2R,10/21/2020,520,520,520,520,100,0
CPGP,10/21/2020,101.2,101.2,101.2,101.2,200,0
DDPR,10/21/2020,101,101.5,101,101.5,11430,0
FGENG,10/21/2020,107,107,107,107,2940,0
MWP,10/21/2020,101.6,101.6,101.6,101.6,47360,0
PNX3B,10/21/2020,100.1,102,100.1,101.9,19410,0
PNX4,10/21/2020,995,996,994,996,6730,0
PRF2B,10/21/2020,1040,1050,1040,1050,15,5200
PRF3A,10/21/2020,1065,1065,1065,1065,840,894600
PRF3B,10/21/2020,1080,1085,1075,1085,900,0
SMC2C,10/21/2020,78,78.2,78,78,4830,0
SMC2G,10/21/2020,76.5,76.5,76.5,76.5,1000,76500
SMC2I,10/21/2020,78.8,78.85,78.8,78.85,140900,0
ABSP,10/21/2020,11.04,11.44,11,11.1,9300,19448
GMAP,10/21/2020,4.95,4.97,4.95,4.97,13000,0
LRW,10/21/2020,0.8,0.89,0.8,0.83,425000,0
DMPA2,10/21/2020,10.28,10.28,10.28,10.28,5000,0
